"","location","year","date","julian","water","air","dmean_1","dmean_2","dmean_3","dmean_4","dmean_5","dmean_6","cair","X.1","X","n_days","expected_days","complete"
"84","allegheny",2012,2012-06-23,175,19.7,20.55,25,25.25,25,21.65,21.4,19.45,22.6142857142857,3,3,112,112,TRUE
"85","allegheny",2012,2012-06-24,176,19.1,18.9,20.55,25,25.25,25,21.65,21.4,22.5357142857143,3,3,112,112,TRUE
"86","allegheny",2012,2012-06-25,177,18.5,19.15,18.9,20.55,25,25.25,25,21.65,22.2142857142857,3,3,112,112,TRUE
"87","allegheny",2012,2012-06-26,178,21.1,15,19.15,18.9,20.55,25,25.25,25,21.2642857142857,3,3,112,112,TRUE
"88","allegheny",2012,2012-06-27,179,20.3,16.1,15,19.15,18.9,20.55,25,25.25,19.9928571428571,3,3,112,112,TRUE
"89","allegheny",2012,2012-06-28,180,18.9,19.2,16.1,15,19.15,18.9,20.55,25,19.1285714285714,3,3,112,112,TRUE
"90","allegheny",2012,2012-06-29,181,18.8,23.3,19.2,16.1,15,19.15,18.9,20.55,18.8857142857143,3,3,112,112,TRUE
"91","allegheny",2012,2012-06-30,182,18.7,23.9,23.3,19.2,16.1,15,19.15,18.9,19.3642857142857,3,3,112,112,TRUE
"92","allegheny",2012,2012-07-01,183,19.1,23.05,23.9,23.3,19.2,16.1,15,19.15,19.9571428571429,3,3,112,112,TRUE
"93","allegheny",2012,2012-07-02,184,19.7,22.2,23.05,23.9,23.3,19.2,16.1,15,20.3928571428571,3,3,112,112,TRUE
"94","allegheny",2012,2012-07-03,185,19.8,22.2,22.2,23.05,23.9,23.3,19.2,16.1,21.4214285714286,3,3,112,112,TRUE
"95","allegheny",2012,2012-07-04,186,18.8,22.5,22.2,22.2,23.05,23.9,23.3,19.2,22.3357142857143,3,3,112,112,TRUE
"96","allegheny",2012,2012-07-05,187,20.1,23.1,22.5,22.2,22.2,23.05,23.9,23.3,22.8928571428571,3,3,112,112,TRUE
"97","allegheny",2012,2012-07-06,188,20.6,24.2,23.1,22.5,22.2,22.2,23.05,23.9,23.0214285714286,3,3,112,112,TRUE
"98","allegheny",2012,2012-07-07,189,20,26.1,24.2,23.1,22.5,22.2,22.2,23.05,23.3357142857143,3,3,112,112,TRUE
"99","allegheny",2012,2012-07-08,190,21.9,26.95,26.1,24.2,23.1,22.5,22.2,22.2,23.8928571428571,3,3,112,112,TRUE
"100","allegheny",2012,2012-07-09,191,22.2,22.5,26.95,26.1,24.2,23.1,22.5,22.2,23.9357142857143,3,3,112,112,TRUE
"101","allegheny",2012,2012-07-10,192,21.5,20.8,22.5,26.95,26.1,24.2,23.1,22.5,23.7357142857143,3,3,112,112,TRUE
"102","allegheny",2012,2012-07-11,193,21.5,20,20.8,22.5,26.95,26.1,24.2,23.1,23.3785714285714,3,3,112,112,TRUE
"103","allegheny",2012,2012-07-12,194,20.7,21.15,20,20.8,22.5,26.95,26.1,24.2,23.1,3,3,112,112,TRUE
"104","allegheny",2012,2012-07-13,195,20.8,23.9,21.15,20,20.8,22.5,26.95,26.1,23.0571428571429,3,3,112,112,TRUE
"105","allegheny",2012,2012-07-14,196,20.4,23.6,23.9,21.15,20,20.8,22.5,26.95,22.7,3,3,112,112,TRUE
"106","allegheny",2012,2012-07-15,197,20.1,21.7,23.6,23.9,21.15,20,20.8,22.5,21.95,3,3,112,112,TRUE
"107","allegheny",2012,2012-07-16,198,21,22.75,21.7,23.6,23.9,21.15,20,20.8,21.9857142857143,3,3,112,112,TRUE
"108","allegheny",2012,2012-07-17,199,21,24.2,22.75,21.7,23.6,23.9,21.15,20,22.4714285714286,3,3,112,112,TRUE
"109","allegheny",2012,2012-07-18,200,20.8,25.85,24.2,22.75,21.7,23.6,23.9,21.15,23.3071428571429,3,3,112,112,TRUE
"110","allegheny",2012,2012-07-19,201,22.5,25.3,25.85,24.2,22.75,21.7,23.6,23.9,23.9,3,3,112,112,TRUE
"111","allegheny",2012,2012-07-20,202,22.6,21.65,25.3,25.85,24.2,22.75,21.7,23.6,23.5785714285714,3,3,112,112,TRUE
"112","allegheny",2012,2012-07-21,203,22,17.75,21.65,25.3,25.85,24.2,22.75,21.7,22.7428571428571,3,3,112,112,TRUE
"113","allegheny",2013,2013-04-02,92,2.1,-1.15,6.95,3.9,2.8,1.9,1.9,1.4,2.52857142857143,2,2,112,112,TRUE
"114","allegheny",2013,2013-04-03,93,2.1,-1.7,-1.15,6.95,3.9,2.8,1.9,1.9,2.08571428571429,2,2,112,112,TRUE
"115","allegheny",2013,2013-04-04,94,2.4,-3.05,-1.7,-1.15,6.95,3.9,2.8,1.9,1.37857142857143,2,2,112,112,TRUE
"116","allegheny",2013,2013-04-05,95,2.5,3.05,-3.05,-1.7,-1.15,6.95,3.9,2.8,1.54285714285714,2,2,112,112,TRUE
"117","allegheny",2013,2013-04-06,96,2.4,1.65,3.05,-3.05,-1.7,-1.15,6.95,3.9,1.37857142857143,2,2,112,112,TRUE
"118","allegheny",2013,2013-04-07,97,2.8,3.6,1.65,3.05,-3.05,-1.7,-1.15,6.95,1.33571428571429,2,2,112,112,TRUE
"119","allegheny",2013,2013-04-08,98,2.8,10.85,3.6,1.65,3.05,-3.05,-1.7,-1.15,1.89285714285714,2,2,112,112,TRUE
"120","allegheny",2013,2013-04-09,99,3.1,10.55,10.85,3.6,1.65,3.05,-3.05,-1.7,3.56428571428571,2,2,112,112,TRUE
"121","allegheny",2013,2013-04-10,100,3.2,15.55,10.55,10.85,3.6,1.65,3.05,-3.05,6.02857142857143,2,2,112,112,TRUE
"122","allegheny",2013,2013-04-11,101,3.2,12.75,15.55,10.55,10.85,3.6,1.65,3.05,8.28571428571429,2,2,112,112,TRUE
"123","allegheny",2013,2013-04-12,102,3.1,7.8,12.75,15.55,10.55,10.85,3.6,1.65,8.96428571428572,2,2,112,112,TRUE
"124","allegheny",2013,2013-04-13,103,3,8.05,7.8,12.75,15.55,10.55,10.85,3.6,9.87857142857143,2,2,112,112,TRUE
"125","allegheny",2013,2013-04-14,104,3.3,5.25,8.05,7.8,12.75,15.55,10.55,10.85,10.1142857142857,2,2,112,112,TRUE
"126","allegheny",2013,2013-04-15,105,3.6,2.2,5.25,8.05,7.8,12.75,15.55,10.55,8.87857142857143,2,2,112,112,TRUE
"127","allegheny",2013,2013-04-16,106,3.9,15.8,2.2,5.25,8.05,7.8,12.75,15.55,9.62857142857143,2,2,112,112,TRUE
"128","allegheny",2013,2013-04-17,107,4.1,13.6,15.8,2.2,5.25,8.05,7.8,12.75,9.35,2,2,112,112,TRUE
"129","allegheny",2013,2013-04-18,108,4.4,13.05,13.6,15.8,2.2,5.25,8.05,7.8,9.39285714285714,2,2,112,112,TRUE
"130","allegheny",2013,2013-04-19,109,4.5,20.55,13.05,13.6,15.8,2.2,5.25,8.05,11.2142857142857,2,2,112,112,TRUE
"131","allegheny",2013,2013-04-20,110,4.4,10.85,20.55,13.05,13.6,15.8,2.2,5.25,11.6142857142857,2,2,112,112,TRUE
"132","allegheny",2013,2013-04-21,111,4.9,0.25,10.85,20.55,13.05,13.6,15.8,2.2,10.9,2,2,112,112,TRUE
"133","allegheny",2013,2013-04-22,112,6.7,4.45,0.25,10.85,20.55,13.05,13.6,15.8,11.2214285714286,2,2,112,112,TRUE
"134","allegheny",2013,2013-04-23,113,6.3,8.6,4.45,0.25,10.85,20.55,13.05,13.6,10.1928571428571,2,2,112,112,TRUE
"135","allegheny",2013,2013-04-24,114,5.6,12.2,8.6,4.45,0.25,10.85,20.55,13.05,9.99285714285714,2,2,112,112,TRUE
"136","allegheny",2013,2013-04-25,115,5.4,8.65,12.2,8.6,4.45,0.25,10.85,20.55,9.36428571428571,2,2,112,112,TRUE
"137","allegheny",2013,2013-04-26,116,5.5,6.95,8.65,12.2,8.6,4.45,0.25,10.85,7.42142857142857,2,2,112,112,TRUE
"138","allegheny",2013,2013-04-27,117,6.4,7.2,6.95,8.65,12.2,8.6,4.45,0.25,6.9,2,2,112,112,TRUE
"139","allegheny",2013,2013-04-28,118,6,11.65,7.2,6.95,8.65,12.2,8.6,4.45,8.52857142857143,2,2,112,112,TRUE
"140","allegheny",2013,2013-04-29,119,5.8,12.75,11.65,7.2,6.95,8.65,12.2,8.6,9.71428571428571,2,2,112,112,TRUE
"141","allegheny",2013,2013-04-30,120,6,11.95,12.75,11.65,7.2,6.95,8.65,12.2,10.1928571428571,2,2,112,112,TRUE
"142","allegheny",2013,2013-05-01,121,6.5,16.1,11.95,12.75,11.65,7.2,6.95,8.65,10.75,2,2,112,112,TRUE
"143","allegheny",2013,2013-05-02,122,6,17.25,16.1,11.95,12.75,11.65,7.2,6.95,11.9785714285714,2,2,112,112,TRUE
"144","allegheny",2013,2013-05-03,123,6,17.25,17.25,16.1,11.95,12.75,11.65,7.2,13.45,2,2,112,112,TRUE
"145","allegheny",2013,2013-05-04,124,5.9,13.9,17.25,17.25,16.1,11.95,12.75,11.65,14.4071428571429,2,2,112,112,TRUE
"146","allegheny",2013,2013-05-05,125,6.1,15.3,13.9,17.25,17.25,16.1,11.95,12.75,14.9285714285714,2,2,112,112,TRUE
"147","allegheny",2013,2013-05-06,126,6,15.55,15.3,13.9,17.25,17.25,16.1,11.95,15.3285714285714,2,2,112,112,TRUE
"148","allegheny",2013,2013-05-07,127,7.1,15.85,15.55,15.3,13.9,17.25,17.25,16.1,15.8857142857143,2,2,112,112,TRUE
"149","allegheny",2013,2013-05-08,128,7.3,16.95,15.85,15.55,15.3,13.9,17.25,17.25,16.0071428571429,2,2,112,112,TRUE
"150","allegheny",2013,2013-05-09,129,7.6,16.7,16.95,15.85,15.55,15.3,13.9,17.25,15.9285714285714,2,2,112,112,TRUE
"151","allegheny",2013,2013-05-10,130,8.3,15.3,16.7,16.95,15.85,15.55,15.3,13.9,15.65,2,2,112,112,TRUE
"152","allegheny",2013,2013-05-11,131,8.2,16.35,15.3,16.7,16.95,15.85,15.55,15.3,16,2,2,112,112,TRUE
"153","allegheny",2013,2013-05-12,132,8.9,7.25,16.35,15.3,16.7,16.95,15.85,15.55,14.85,2,2,112,112,TRUE
"154","allegheny",2013,2013-05-13,133,8.9,4.7,7.25,16.35,15.3,16.7,16.95,15.85,13.3,2,2,112,112,TRUE
"155","allegheny",2013,2013-05-14,134,10.2,2.2,4.7,7.25,16.35,15.3,16.7,16.95,11.35,2,2,112,112,TRUE
"156","allegheny",2013,2013-05-15,135,10.4,6.1,2.2,4.7,7.25,16.35,15.3,16.7,9.8,2,2,112,112,TRUE
"157","allegheny",2013,2013-05-16,136,10.2,19.15,6.1,2.2,4.7,7.25,16.35,15.3,10.15,2,2,112,112,TRUE
"158","allegheny",2013,2013-05-17,137,12.5,14.7,19.15,6.1,2.2,4.7,7.25,16.35,10.0642857142857,2,2,112,112,TRUE
"159","allegheny",2013,2013-05-18,138,14.1,14.45,14.7,19.15,6.1,2.2,4.7,7.25,9.79285714285714,2,2,112,112,TRUE
"160","allegheny",2013,2013-05-19,139,13.1,16.4,14.45,14.7,19.15,6.1,2.2,4.7,11.1,2,2,112,112,TRUE
"161","allegheny",2013,2013-05-20,140,12,20.6,16.4,14.45,14.7,19.15,6.1,2.2,13.3714285714286,2,2,112,112,TRUE
"162","allegheny",2013,2013-05-21,141,12.3,22.5,20.6,16.4,14.45,14.7,19.15,6.1,16.2714285714286,2,2,112,112,TRUE
"163","allegheny",2013,2013-05-22,142,13,24.75,22.5,20.6,16.4,14.45,14.7,19.15,18.9357142857143,2,2,112,112,TRUE
"164","allegheny",2013,2013-05-23,143,11.9,23.9,24.75,22.5,20.6,16.4,14.45,14.7,19.6142857142857,2,2,112,112,TRUE
"165","allegheny",2013,2013-05-24,144,14.4,14.15,23.9,24.75,22.5,20.6,16.4,14.45,19.5357142857143,2,2,112,112,TRUE
"166","allegheny",2013,2013-05-25,145,15.1,4.45,14.15,23.9,24.75,22.5,20.6,16.4,18.1071428571429,2,2,112,112,TRUE
"167","allegheny",2013,2013-05-26,146,14.8,7.8,4.45,14.15,23.9,24.75,22.5,20.6,16.8785714285714,2,2,112,112,TRUE
"168","allegheny",2013,2013-05-27,147,14.4,9.2,7.8,4.45,14.15,23.9,24.75,22.5,15.25,2,2,112,112,TRUE
"169","allegheny",2013,2013-05-28,148,13.9,12.25,9.2,7.8,4.45,14.15,23.9,24.75,13.7857142857143,2,2,112,112,TRUE
"170","allegheny",2013,2013-05-29,149,13.5,16.95,12.25,9.2,7.8,4.45,14.15,23.9,12.6714285714286,2,2,112,112,TRUE
"171","allegheny",2013,2013-05-30,150,12.2,21.95,16.95,12.25,9.2,7.8,4.45,14.15,12.3928571428571,2,2,112,112,TRUE
"172","allegheny",2013,2013-05-31,151,10.9,22.2,21.95,16.95,12.25,9.2,7.8,4.45,13.5428571428571,2,2,112,112,TRUE
"173","allegheny",2013,2013-06-01,152,10.7,22.75,22.2,21.95,16.95,12.25,9.2,7.8,16.1571428571429,2,2,112,112,TRUE
"174","allegheny",2013,2013-06-02,153,10.7,23.6,22.75,22.2,21.95,16.95,12.25,9.2,18.4142857142857,2,2,112,112,TRUE
"175","allegheny",2013,2013-06-03,154,12.2,18.35,23.6,22.75,22.2,21.95,16.95,12.25,19.7214285714286,2,2,112,112,TRUE
"176","allegheny",2013,2013-06-04,155,14,11.7,18.35,23.6,22.75,22.2,21.95,16.95,19.6428571428571,2,2,112,112,TRUE
"177","allegheny",2013,2013-06-05,156,14.3,13.35,11.7,18.35,23.6,22.75,22.2,21.95,19.1285714285714,2,2,112,112,TRUE
"178","allegheny",2013,2013-06-06,157,13.9,16.15,13.35,11.7,18.35,23.6,22.75,22.2,18.3,2,2,112,112,TRUE
"179","allegheny",2013,2013-06-07,158,14.4,16.1,16.15,13.35,11.7,18.35,23.6,22.75,17.4285714285714,2,2,112,112,TRUE
"180","allegheny",2013,2013-06-08,159,16.9,15,16.1,16.15,13.35,11.7,18.35,23.6,16.3214285714286,2,2,112,112,TRUE
"181","allegheny",2013,2013-06-09,160,16.4,14.15,15,16.1,16.15,13.35,11.7,18.35,14.9714285714286,2,2,112,112,TRUE
"182","allegheny",2013,2013-06-10,161,16.2,17.2,14.15,15,16.1,16.15,13.35,11.7,14.8071428571429,2,2,112,112,TRUE
"183","allegheny",2013,2013-06-11,162,15.2,19.45,17.2,14.15,15,16.1,16.15,13.35,15.9142857142857,2,2,112,112,TRUE
"184","allegheny",2013,2013-06-12,163,15.9,17.5,19.45,17.2,14.15,15,16.1,16.15,16.5071428571429,2,2,112,112,TRUE
"185","allegheny",2013,2013-06-13,164,16.6,20.85,17.5,19.45,17.2,14.15,15,16.1,17.1785714285714,2,2,112,112,TRUE
"186","allegheny",2013,2013-06-14,165,16.5,16.95,20.85,17.5,19.45,17.2,14.15,15,17.3,2,2,112,112,TRUE
"187","allegheny",2013,2013-06-15,166,15.2,16.4,16.95,20.85,17.5,19.45,17.2,14.15,17.5,2,2,112,112,TRUE
"188","allegheny",2013,2013-06-16,167,14.2,17.25,16.4,16.95,20.85,17.5,19.45,17.2,17.9428571428571,2,2,112,112,TRUE
"189","allegheny",2013,2013-06-17,168,13.5,17.8,17.25,16.4,16.95,20.85,17.5,19.45,18.0285714285714,2,2,112,112,TRUE
"190","allegheny",2013,2013-06-18,169,13.6,20.85,17.8,17.25,16.4,16.95,20.85,17.5,18.2285714285714,2,2,112,112,TRUE
"191","allegheny",2013,2013-06-19,170,14.9,15.85,20.85,17.8,17.25,16.4,16.95,20.85,17.9928571428571,2,2,112,112,TRUE
"192","allegheny",2013,2013-06-20,171,15.7,15.25,15.85,20.85,17.8,17.25,16.4,16.95,17.1928571428571,2,2,112,112,TRUE
"193","allegheny",2013,2013-06-21,172,16.6,17.8,15.25,15.85,20.85,17.8,17.25,16.4,17.3142857142857,2,2,112,112,TRUE
